Points_0,Points_1,Points_2,U_0,U_1,U_2,VectorGradient_0,VectorGradient_1,VectorGradient_2,VectorGradient_3,VectorGradient_4,VectorGradient_5,VectorGradient_6,VectorGradient_7,VectorGradient_8
-20.2333,0,1.49027,3.42872,0,0.135902,-0.128285,0,1.26632,0,0,0,0.00756597,0,0.129275
-18.6177,0,1.49027,3.20871,0,0.148228,-0.140713,0,1.22958,0,0,0,0.00795418,0,0.141695
-17.1164,0,1.49027,2.98545,0,0.160081,-0.153017,0,1.1898,0,0,0,0.00814567,0,0.153969
-15.7211,0,1.49027,2.76088,0,0.171156,-0.164928,0,1.14688,0,0,0,0.00810149,0,0.165832
-14.4243,0,1.49027,2.53703,0,0.181175,-0.176186,0,1.10081,0,0,0,0.00780126,0,0.177023
-13.2193,0,1.49027,2.3159,0,0.189921,-0.186564,0,1.05171,0,0,0,0.00725668,0,0.18732
-12.0993,0,1.49027,2.09937,0,0.197272,-0.195898,0,0.999836,0,0,0,0.0065414,0,0.196572
-11.0585,0,1.49027,1.88908,0,0.203275,-0.204128,0,0.945591,0,0,0,0.00584933,0,0.20473
-10.0913,0,1.49027,1.68633,0,0.20826,-0.211336,0,0.889593,0,0,0,0.005565,0,0.211875
-9.19237,0,1.49027,1.49197,0,0.212968,-0.217718,0,0.832747,0,0,0,0.00626583,0,0.218187
-8.35698,0,1.49027,1.30644,0,0.218558,-0.223526,0,0.776294,0,0,0,0.00850139,0,0.223896
-7.58061,0,1.49027,1.12984,0,0.226287,-0.228995,0,0.721744,0,0,0,0.0123658,0,0.229224
-6.85911,0,1.49027,0.962046,0,0.236935,-0.234307,0,0.670686,0,0,0,0.0172631,0,0.234335
-6.18859,0,1.49027,0.802776,0,0.250453,-0.239583,0,0.624698,0,0,0,0.021785,0,0.239132
-5.56544,0,1.49027,0.651741,0,0.265553,-0.24427,0,0.585122,0,0,0,0.0234937,0,0.242928
-4.98633,0,1.49027,0.509334,0,0.279368,-0.246811,0,0.55249,0,0,0,0.0191286,0,0.244356
-4.44814,0,1.49027,0.376836,0,0.287671,-0.245242,0,0.526149,0,0,0,0.00541245,0,0.241715
